,Station,Target Variable,RF_max_depth,RF_n_estimators,RF_max_features,RF_min_samples_split,RF_min_samples_leaf,MAE,MSE,RMSE,R2,Station_Target
145,CSLB,"(38.0625, 14.083335876464844)",10,100,sqrt,2,1,0.1876188205572598,0.1093390965274749,0.3306646284794837,0.4340027411308564,"CSLB_(38.0625, 14.083335876464844)"
146,CSLB,"(38.0625, 14.0)",10,100,sqrt,2,1,0.1844533558425606,0.1077573125038807,0.3282640895740513,0.4505728497995407,"CSLB_(38.0625, 14.0)"
147,CSLB,"(38.0625, 14.125)",10,100,sqrt,2,1,0.1891273802998708,0.1099093758008732,0.3315258297642482,0.4254385233186848,"CSLB_(38.0625, 14.125)"
148,CSLB,"(38.020835876464844, 13.916667938232422)",10,100,sqrt,2,1,0.1801225367875718,0.0955787884066557,0.3091581931740702,0.3970432276260779,"CSLB_(38.020835876464844, 13.916667938232422)"
149,CSLB,sea_mean,10,100,sqrt,2,1,0.1849498495806703,0.1058542179967326,0.3253524519605357,0.4312613411649028,CSLB_sea_mean
150,CSLB,sea_median,10,100,sqrt,2,1,0.1866910088149089,0.1085093283538729,0.3294075414344258,0.4338717632588222,CSLB_sea_median
152,CSLB,"(38.0625, 14.041667938232422)",10,100,sqrt,2,3,0.1659281221996532,0.0772274759988167,0.2778983195321928,0.6037161939790434,"CSLB_(38.0625, 14.041667938232422)"
153,CSLB,"(38.0625, 14.083335876464844)",10,100,sqrt,2,3,0.1675536056780596,0.078196148464469,0.2796357424659249,0.5952151875162731,"CSLB_(38.0625, 14.083335876464844)"
154,CSLB,"(38.0625, 14.0)",10,100,sqrt,2,3,0.1641870517096137,0.0760646767908432,0.2757982537849781,0.6121655446946406,"CSLB_(38.0625, 14.0)"
155,CSLB,"(38.0625, 14.125)",10,100,sqrt,2,3,0.1691193000319318,0.0790666417175326,0.2811879117557023,0.5866717821802327,"CSLB_(38.0625, 14.125)"
156,CSLB,"(38.020835876464844, 13.916667938232422)",10,100,sqrt,2,3,0.1614963115287662,0.0690542405904613,0.262781735648544,0.564372778528992,"CSLB_(38.020835876464844, 13.916667938232422)"
157,CSLB,sea_mean,10,100,sqrt,2,3,0.1650814945517235,0.0755627604806892,0.2748868139447383,0.5940127482214137,CSLB_sea_mean
158,CSLB,sea_median,10,100,sqrt,2,3,0.1665457179891174,0.0772736115868911,0.2779813151758425,0.5968385931609366,CSLB_sea_median
160,CSLB,"(38.0625, 14.041667938232422)",10,100,sqrt,2,5,0.168167788850564,0.0866373100602539,0.294342164937771,0.5554307255280337,"CSLB_(38.0625, 14.041667938232422)"
161,CSLB,"(38.0625, 14.083335876464844)",10,100,sqrt,2,5,0.1698275003829245,0.0878035488180191,0.2963166360804252,0.5454821785774131,"CSLB_(38.0625, 14.083335876464844)"
162,CSLB,"(38.0625, 14.0)",10,100,sqrt,2,5,0.1663503135200834,0.0852471408415643,0.2919711301508496,0.5653464942007428,"CSLB_(38.0625, 14.0)"
163,CSLB,"(38.0625, 14.125)",10,100,sqrt,2,5,0.1714731340877999,0.0888526906939415,0.2980816845999458,0.5355143016669411,"CSLB_(38.0625, 14.125)"
164,CSLB,"(38.020835876464844, 13.916667938232422)",10,100,sqrt,2,5,0.1635307309306216,0.0770414480970679,0.2775634127493534,0.5139856483011629,"CSLB_(38.020835876464844, 13.916667938232422)"
165,CSLB,sea_mean,10,100,sqrt,2,5,0.1672966164895691,0.0847484951659145,0.2911159479759131,0.5446591889192103,CSLB_sea_mean
