Station,Target Variable,RF_max_depth,RF_n_estimators,RF_max_features,MAE,MSE,RMSE,R2
MUCR,"(38.1875, 14.875)",15,200,40,0.17544288303808842,0.06622054315095077,0.2573335251205151,0.8298196992921203
MUCR,"(38.1875, 14.833335876464844)",15,200,40,0.17306827228016436,0.06395635271123974,0.2528959325715614,0.8366687309817991
MUCR,"(38.1875, 14.791667938232422)",15,200,40,0.17241241417410416,0.06339903433669099,0.251791648663515,0.8410257498739278
MUCR,"(38.1875, 14.958335876464844)",15,200,40,0.09852766657947554,0.02074395487812683,0.14402761845606846,0.8242188607084209
MUCR,"(38.145835876464844, 14.708335876464844)",15,200,40,0.1735205570176822,0.06477844564176286,0.254516100947981,0.8347583140626775
MUCR,sea_mean,15,200,40,0.15576198956122966,0.051785884226856635,0.2275651208486411,0.8395398653316024
MUCR,sea_median,15,200,40,0.17274702960317492,0.06376742210070341,0.25252212200261465,0.8368608323771556
MUCR,sea_mode,15,200,40,0.13132711745040204,0.03825949402396883,0.19560034259675732,0.7278420268697445
SOLUN,"(38.10416793823242, 13.541667938232422)",15,200,40,0.12842129990986673,0.04866031635260474,0.22059083469764726,0.7000114777044625
SOLUN,"(38.10416793823242, 13.583333969116211)",15,200,40,0.14440667702306523,0.06218822299253256,0.2493756664001774,0.6989137159143615
SOLUN,"(38.0625, 13.583333969116211)",15,200,40,0.12326720022586629,0.04411323637207491,0.21003151280718546,0.6906822326990754
SOLUN,"(38.145835876464844, 13.541667938232422)",15,200,40,0.15971255480309787,0.07745978942936994,0.27831598845443634,0.7036747842126994
SOLUN,"(38.10416793823242, 13.458333969116211)",15,200,40,0.13040669590875054,0.048951439596783934,0.2212497222524447,0.6727811482143407
SOLUN,sea_mean,15,200,40,0.13525676691219857,0.054317528554075935,0.23306121203253866,0.6979481436802749
SOLUN,sea_median,15,200,40,0.1298486736285371,0.05010348902698143,0.22383808663179158,0.6998905563767172
SOLUN,sea_mode,15,200,40,0.12212056951115692,0.04161767850483427,0.2040041139409553,0.6752780075151095
WDD,"(35.85416793823242, 14.583335876464844)",15,200,40,0.20392665645209826,0.11228614952750408,0.33509125552228913,0.718673599558629
WDD,"(35.8125, 14.583335876464844)",15,200,40,0.2000655965057929,0.10647459505762304,0.32630445148300236,0.74083320199262
WDD,"(35.8125, 14.458335876464844)",15,200,40,0.16412350427404335,0.08648725641317563,0.29408715785150435,0.8228859701716061
WDD,"(35.770835876464844, 14.541667938232422)",15,200,40,0.17384758501259368,0.08397494286879305,0.2897843040414595,0.847022044998526
WDD,"(35.770835876464844, 14.5)",15,200,40,0.17117203998390979,0.08572593365028935,0.29278991384658276,0.8507491576753083
WDD,sea_mean,15,200,40,0.15666893225408457,0.06676810195843871,0.2583952436838548,0.8413281353628241
WDD,sea_median,15,200,40,0.17455169769373394,0.08180326302171928,0.2860126973085623,0.8465779294904268
WDD,sea_mode,15,200,40,0.14597494632393718,0.0506345788880761,0.22502128541112748,0.7610293722521653
